lua,benchmark,input,duration,emissions,energy_consumed
Lua 5.4.5,Mandelbrot,4000,16.389509916305542,8.743980765742142e-06,3.727107591799894e-05
Lua 5.4.5,Nbody,5000000,14.928345203399658,5.522139381847413e-06,2.3538029376387598e-05
Lua 5.4.5,Nbody,5000000,14.917752027511597,4.500155138112852e-06,1.9181838145448104e-05
Lua 5.4.5,Nbody,5000000,14.974332809448242,4.549348692969624e-06,1.939152487359444e-05
Lua 5.4.5,Nbody,5000000,15.094389915466309,4.6137824757129195e-06,1.966617282544242e-05
Lua 5.4.5,Nbody,5000000,15.645628929138184,4.862821791436303e-06,2.072769886164533e-05
Lua 5.4.5,Nbody,5000000,14.739327907562256,4.401995506707535e-06,1.8763434311747553e-05
Lua 5.4.5,Nbody,5000000,14.914726972579956,4.4984002874987295e-06,1.9174358123222988e-05
Lua 5.4.5,Nbody,5000000,15.208693027496338,4.645729015626983e-06,1.9802344432671865e-05
Lua 5.4.5,Nbody,5000000,15.318798065185547,7.639332296927819e-06,3.256252977101008e-05
Lua 5.4.5,Nbody,5000000,15.877723932266235,5.2833805730247705e-06,2.2520323833783466e-05
Lua 5.4.5,Spectralnorm,4000,33.37996792793274,1.4926704264170958e-05,6.362483435634772e-05
Lua 5.4.5,Spectralnorm,4000,33.37960910797119,1.5144295705189262e-05,6.455231433767082e-05
Lua 5.4.5,Spectralnorm,4000,33.43769311904907,1.4831861895853671e-05,6.3220570302652e-05
Lua 5.4.5,Spectralnorm,4000,33.635900259017944,2.1070975466969928e-05,8.981469050945175e-05
Lua 5.4.5,Spectralnorm,4000,33.4004602432251,1.5135263081983019e-05,6.451381292804083e-05
Lua 5.4.5,Spectralnorm,4000,33.42380380630493,1.4917328902122686e-05,6.358487202797334e-05
Lua 5.4.5,Spectralnorm,4000,33.403836727142334,1.4856065311716526e-05,6.33237369694445e-05
Lua 5.4.5,Spectralnorm,4000,33.519497871398926,1.6973773268550352e-05,7.235043272117112e-05
Lua 5.4.5,Spectralnorm,4000,33.48107695579529,1.4932187003158381e-05,6.364820444218316e-05
Lua 5.4.5,Spectralnorm,4000,33.42312693595886,1.5091108486133593e-05,6.432560468077659e-05
Lua 5.4.6,BinaryTrees,16,8.251827955245972,1.026134600530454e-06,4.373882059335709e-06
Lua 5.4.6,BinaryTrees,16,8.201524019241333,1.0026350147760464e-06,4.273715456942718e-06
Lua 5.4.6,BinaryTrees,16,8.199097156524658,1.0028317187357657e-06,4.2745539043744404e-06
Lua 5.4.6,BinaryTrees,16,8.226529836654663,1.0120964150793092e-06,4.314044521980816e-06
Lua 5.4.6,BinaryTrees,16,8.227336883544922,1.0128593088312217e-06,4.31729634420077e-06
Lua 5.4.6,BinaryTrees,16,8.222851037979126,1.0081870555623713e-06,4.2973809405697716e-06
Lua 5.4.6,BinaryTrees,16,8.154039144515991,1.3912690939649043e-06,5.9302619039018955e-06
Lua 5.4.6,BinaryTrees,16,8.981205940246582,2.223075836021192e-06,9.475824624458949e-06
Lua 5.4.6,BinaryTrees,16,8.943505764007568,2.1894435494837444e-06,9.332467549641926e-06
Lua 5.4.6,BinaryTrees,16,8.196440935134888,1.00316482741925e-06,4.275973774724537e-06
Lua 5.4.6,Fannkuch,11,33.23211908340454,1.4775148762426184e-05,6.297883149304654e-05
Lua 5.4.6,Fannkuch,11,33.119909048080444,1.4752964621567741e-05,6.288427195314567e-05
Lua 5.4.6,Fannkuch,11,33.120218992233276,1.4710036783322229e-05,6.270129274023243e-05
Lua 5.4.6,Fannkuch,11,33.44654321670532,2.077089483898538e-05,8.853560170919367e-05
Lua 5.4.6,Fannkuch,11,33.1012818813324,1.4711993266576127e-05,6.270963221830791e-05
Lua 5.4.6,Fannkuch,11,33.182600259780884,1.4874938191826904e-05,6.34041823142171e-05
Lua 5.4.6,Fannkuch,11,33.1705539226532,1.4801498622245985e-05,6.309114734232426e-05
Lua 5.4.6,Fannkuch,11,33.438997983932495,2.158373940050107e-05,9.200033844334549e-05
Lua 5.4.6,Fannkuch,11,33.24456071853638,1.4904976297005684e-05,6.353221924940083e-05
Lua 5.4.6,Fannkuch,11,33.175950050354004,1.487605129396435e-05,6.340892689398926e-05
Lua 5.4.6,Fasta,2500000,9.987800121307373,1.9330315029899686e-06,8.2395153683424e-06
Lua 5.4.6,Fasta,2500000,9.986833095550537,1.933312692547676e-06,8.240713934262593e-06
Lua 5.4.6,Fasta,2500000,10.022571086883545,1.9431327568935434e-06,8.282571798953744e-06
Lua 5.4.6,Fasta,2500000,9.964887619018555,1.9267837182416817e-06,8.212884287383822e-06
Lua 5.4.6,Fasta,2500000,9.990051031112671,1.936114982553938e-06,8.252658649875058e-06
Lua 5.4.6,Fasta,2500000,10.269739151000977,3.275017458776051e-06,1.3959708696643511e-05
Lua 5.4.6,Fasta,2500000,10.220601081848145,3.2173465962584125e-06,1.3713887582355076e-05
Lua 5.4.6,Fasta,2500000,10.378744125366211,2.3934688262769152e-06,1.0202121976415317e-05
Lua 5.4.6,Fasta,2500000,9.966894149780273,1.949430649539271e-06,8.309416464010873e-06
Lua 5.4.6,Fasta,2500000,10.002549171447754,1.9488031301551646e-06,8.30674167283376e-06
Lua 5.4.6,Knucleotide,1000000,9.084103345870972,1.457823699715414e-06,6.213949829353227e-06
Lua 5.4.6,Knucleotide,1000000,9.032907009124756,1.4387142183697034e-06,6.1324959756599535e-06
Lua 5.4.6,Knucleotide,1000000,9.028904914855957,1.4339168474928124e-06,6.112047260257933e-06
Lua 5.4.6,Knucleotide,1000000,9.015923023223877,1.4948117831569037e-06,6.371610933939616e-06
Lua 5.4.6,Knucleotide,1000000,9.128609895706177,1.4819859547523923e-06,6.316941048794323e-06
Lua 5.4.6,Knucleotide,1000000,9.240304231643677,1.5376183556231815e-06,6.554073253439532e-06
Lua 5.4.6,Knucleotide,1000000,9.043801069259644,1.4372208387460137e-06,6.1261304692824685e-06
Lua 5.4.6,Knucleotide,1000000,9.117591857910156,1.4716367257500446e-06,6.272827628354232e-06
Lua 5.4.6,Knucleotide,1000000,9.133388042449951,1.4848465298572269e-06,6.329134203692277e-06
